"","X.2","X.1","X","icon","title","price","date","deal","delivery","userclass","userid"
"84624",134771,134771,531,"판매","아이폰x 64기가 스페이스그레이 팝니다.","450,000원","2019.05.27. 18:35","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(sork****)"
"63828",92646,92646,1106,"판매","갤럭시 S9+플러스 256기가 블랙 정상해지 S급 판매(인천)","450,000원","2019.05.25. 17:58","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(ipse****)"
"67261",99276,99276,416,"판매","갤럭시 S9+플러스 256기가 블랙 정상해지 S급 판매(인천)","430,000원","2019.05.26. 00:09","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(ipse****)"
"75740",117229,117229,69,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.26. 23:50","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"76840",119877,119877,277,NA,"갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 01:06","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"77163",122045,122045,5,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 03:58","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"79088",128770,128770,630,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 10:31","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"87330",138255,138255,355,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 21:29","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"88071",139534,139534,414,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 22:20","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"88644",140714,140714,374,NA,"갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.27. 23:20","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"89616",143075,143075,295,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.28. 01:21","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"90247",145332,145332,112,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.28. 03:44","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"92177",151379,151379,59,"판매","갤럭시S8 플러스 64GB A+급 풀박스 가격내려 판매해요. 가격인하","210,000원","2019.05.28. 08:55","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(kyss****)"
"13267",14382,14382,922,"판매","LG폴더 (LM-Y110S) 블랙, 골드 판매합니다.","45,000원","2019.05.21. 18:15","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(rusi****)"
"41",41,41,21,"판매","아이폰8 64기가 판매합니다 풀구성","380,000원","2019.05.20. 11:59","안전거래 미사용(본인 미인증)","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
