"","X","item","price","userid","phonenum"
"31",31,"에어팟","140,000 원","(sork****)","010-****-**81"
"316",316,"에어팟","80,000 원","(ipse****)","--"
"339",339,"갤럭시 s8+","200,000 원","(kyss****)","010-****-**61"
"342",342,"갤럭시S8 플러스 64GB","214,000 원","(kyss****)","010-****-**61"
"346",346,"갤럭시S8 플러스 64GB","210,000 원","(kyss****)","010-****-**61"
"440",440,"아이폰","1,000,000 원","(rusi****)","010-****-**05"
"443",443,"아이폰6s 플러스","160,000 원","(qkrt****)","010-****-**36"
"450",450,"에어팟 2세대","150,000 원","(best****)","010-****-**09"
"469",469,"에어팟","120,000 원","(best****)","010-****-**0"
"458",458,"아이폰xr","650,000 원","(dnwj****)","010-****-**32"
