"","phone1","price1"
"1","갤럭시 A5 2017 (SALE)","139,000"
"2","갤럭시 S7,S7엣지 (SALE)","175,000"
"3","갤럭시 노트9 A급(SALE)","669,000"
"4","가성비 갑!! 기종 모음 (EVENT)","89,000"
"5","갤럭시 노트5 (SALE)","188,000"
"6","갤럭시 S8 (SALE)","359,000"
"7","갤럭시 S8+ (SALE)","369,000"
"8","갤럭시 S10 5G","950,000"
"9","갤럭시 S10 Plus","840,000"
"10","갤럭시 S10","760,000"
"11","갤럭시 S10E","670,000"
"12","갤럭시 S9 Plus","489,000"
"13","갤럭시 S9","439,000"
"14","갤럭시 노트8","449,000"
"15","갤럭시 노트 FE","320,000"
"16","갤럭시 S7","220,000"
"17","갤럭시 S7 엣지","250,000"
"18","갤럭시 S6","160,000"
"19","갤럭시 S6 엣지","170,000"
"20","갤럭시 S6 엣지+","180,000"
"21","갤럭시 A9 Pro","380,000"
"22","갤럭시 A9","340,000"
"23","갤럭시 A7 (2018년 형)","270,000"
"24","갤럭시 A8 Star","299,000"
"25","갤럭시 A8 2018","260,000"
"26","갤럭시 J4 Plus","160,000"
"27","갤럭시 J6","135,000"
"28","갤럭시 A6 Jean","190,000"
"29","갤럭시 A6","180,000"
"30","갤럭시 A7 2017","200,000"
"31","갤럭시 A5 2017","160,000"
"32","갤럭시 와이드3","130,000"
"33","갤럭시 와이드2","110,000"
"34","갤럭시 온7 프라임","170,000"
"35","갤럭시 와이드","90,000"
"36","갤럭시 온7","120,000"
"37","갤럭시 A8 2016","140,000"
"38","갤럭시 노트4 엣지","130,000"
"39","갤럭시 노트4","140,000"
"40","갤럭시 S5 LTE-A","110,000"
"41","갤럭시 A7 2016","140,000"
"42","갤럭시 A5 2016","120,000"
"43","갤럭시 A3 2016","100,000"
"44","갤럭시 A8","120,000"
"45","갤럭시 A7","110,000"
"46","갤럭시 A5","100,000"
"47","갤럭시 노트3","105,000"
"48","갤럭시 폴더2","140,000"
"49","갤럭시 알파","100,000"
"50","갤럭시 폴더","99,000"
"51","갤럭시 노트3 네오","99,000"
"52","갤럭시 노트2","79,000"
"53","갤럭시 J7 2017","170,000"
"54","갤럭시 J7 2016","120,000"
"55","갤럭시 J5 2017","150,000"
"56","갤럭시 J5 2016","120,000"
"57","갤럭시 J3 2017","110,000"
"58","갤럭시 J3 2016","80,000"
"59","갤럭시 J7","110,000"
"60","갤럭시 J5","80,000"
"61","갤럭시 S4","89,000"
"62","갤럭시 S3 LTE","69,000"
"63","갤럭시 S3 3G","79,000"
"64","갤럭시 그랜드2","80,000"
"65","갤럭시 MEGA","120,000"
"66","갤럭시 그랜드 맥스","80,000"
"67","아이폰7 (SALE)","289,000"
"68","아이폰6S 64GB (SALE)","239,000"
"69","아이폰 XS Max","1,080,000"
"70","아이폰 XS","889,000"
"71","아이폰 XR","740,000"
"72","아이폰 X","720,000"
"73","아이폰8 Plus","579,000"
"74","아이폰8 리퍼폰(새제품)","620,000"
"75","아이폰8","479,000"
"76","아이폰7 Plus","389,000"
"77","아이폰7","310,000"
"78","아이폰6S Plus","279,000"
"79","아이폰6S","199,000"
"80","아이폰6 Plus","199,000"
"81","아이폰6","159,000"
"82","아이폰 SE","230,000"
"83","아이폰5S","115,000"
"84","아이폰5","80,000"
"85","LG G4 32GB S급+추가베터리팩 (SALE)","110,000"
"86","LG G6 (SALE)","199,000"
"87","LG G8","599,000"
"88","LG V40","490,000"
"89","LG G7","330,000"
"90","LG V30+","330,000"
"91","LG V30","280,000"
"92","LG Q9","270,000"
"93","LG Q8 (2018년형)","250,000"
"94","LG Q8 (2017년형)","210,000"
"95","LG Q7","190,000"
"96","LG Q6","170,000"
"97","LG G6","240,000"
"98","LG V20","179,000"
"99","LG G5","140,000"
"100","와인스마트","89,000"
"101","LG 클래스","90,000"
"102","LG X스크린","80,000"
"103","LG 지스타일로2","110,000"
"104","LG 지스타일로","75,000"
"105","LG V10","139,000"
"106","(SALE) LG K10","90,000"
"107","(SALE) LG G3","80,000"
"108","LG G3 스크린","75,000"
"109","LG G3 A","65,000"
"110","LG G3 비트","65,000"
"111","LG G PRO2","99,000"
"112","LG AKA","79,000"
"113","(SALE) 넥서스 5X","150,000"
"114","넥서스 5","110,000"
"115","루나S","139,000"
"116","SKY IM-100","119,000"
