"","X","item","price","userid","phonenum"
"1",1,"에어팟2","160,000 원","(g****)","010-****-**52"
"133",133,"아이폰se","100,000 원","()","010-****-**52"
"137",137,"에어팟2","160,000 원","()","010-****-**52"
"162",162,"에어팟 2","160,000 원","()","010-****-**52"
"174",174,"에어팟2","160,000 원","()","010-****-**52"
"185",185,"에어팟 1세대","110,000 원","()","010-****-**52"
"207",207,"에어팟2","160,000 원","()","010-****-**52"
"214",214,"에어팟2","160,000 원","(g****)","010-****-**52"
"216",216,"갤럭시 워치 42mm","210,000 원","(godwr****)","010-****-**52"
"218",218,"에어팟 2세대","160,000 원","(g****)","010-****-**52"
"228",228,"에어팟2세대 유선","160,000 원","(g****)","010-****-**52"
"232",232,"에어팟 2세대","160,000 원","(g****)","010-****-**52"
"NA",NA,NA,NA,NA,NA
"340",340,"에어팟","130,000 원","()","010-****-**52"
"437",437,"에어팟","136,000 원","(QJGEwNnV****)","010-****-**52"
"453",453,"아이폰8","430,000 원","(rjs****)","010-****-**52"
"459",459,"갤럭시s10 5g","700,000 원","()","010-****-**52"
"2",2,"V20 이어폰","15,000 원","()","070-****-**59"
"501",501,"갤럭시 버즈","100,000 원","()","010-****-**59"
"3",3,"갤럭시 버즈","100,000 원","()","010-****-**56"
"63",63,"아이폰xs","50,000 원","(wjdtnghks2****)","010-****-**56"
"89",89,"에어팟","140,000 원","()","010-****-**56"
"4",4,"에어팟2세대 유선충전","154,000 원","(inyo****)","010-****-**47"
"146",146,"아이앱 스튜디오 반팔","60,000 원","()","010-****-**47"
"5",5,"에어팟 1세대 미개봉","130,000 원","()","010-****-**93"
"23",23,"에어팟 1세대","130,000 원","()","010-****-**93"
"34",34,"에어팟 1세대","130,000 원","()","010-****-**93"
"81",81,"에어팟 1세대","10 원","(ev****)","010-****-**93"
"95",95,"에어팟","170,000 원","()","010-****-**93"
"170",170,"i7 2600","72,000 원","()","010-****-**93"
"308",308,"에어팟1","100,000 원","(****)","010-****-**93"
"404",404,"아이폰 7 플러스","220,000 원","()","010-****-**93"
"6",6,"아이폰8","270,000 원","(djwls****)","010-****-**01"
"262",262,"애플펜슬","80,000 원","()","010-****-**01"
"428",428,"아이폰7플러스 128기가","190,000 원","(su_94****)","010-****-**01"
"451",451,"아이폰 7 plus 128G 로즈골드","180,000 원","(su_94****)","010-****-**01"
"7",7,"아이폰xr","440,000 원","(ne****)","010-****-**09"
"160",160,"갤럭시s8","150,000 원","(wkdtjdg****)","010-****-**09"
"276",276,"아이폰6플러스","100,000 원","()","010-****-**09"
"356",356,"갤럭시노트5 골드","70,000 원","(duddnjs****)","010-****-**09"
